school_id,school_name,province,type,is_985,is_211,recruit_number,rank
1502,浙大城市学院,浙江,综合类,否,否,138,334
447,沈阳师范大学,辽宁,师范类,否,否,1084,335
492,湖南中医药大学,湖南,医药类,否,否,831,336
327,大连交通大学,辽宁,理工类,否,否,1301,337
1046,成都信息工程大学,四川,理工类,否,否,1214,338
32,河南中医药大学,河南,医药类,否,否,1195,339
1370,上海海关学院,上海,财经类,否,否,172,340
495,新乡医学院,河南,医药类,否,否,795,341
237,西安工程大学,陕西,综合类,否,否,1195,342
506,桂林理工大学,广西,理工类,否,否,2077,343
844,江汉大学,湖北,综合类,否,否,957,344
1192,上海政法学院,上海,政法类,否,否,332,345
439,沈阳理工大学,辽宁,理工类,否,否,1135,346
1030,安徽建筑大学,安徽,理工类,否,否,919,347
116,湖南工业大学,湖南,综合类,否,否,1225,348
1377,绍兴文理学院,浙江,综合类,否,否,704,349
1220,厦门理工学院,福建,理工类,否,否,710,350
333,辽宁工程技术大学,辽宁,理工类,否,否,1525,351
118,北京印刷学院,北京,理工类,否,否,702,353
316,内蒙古工业大学,内蒙古,理工类,否,否,1476,354
203,昆明医科大学,云南,医药类,否,否,1627,355
1218,北京石油化工学院,北京,综合类,否,否,445,356
429,华北理工大学,河北,综合类,否,否,1853,357
560,延安大学,陕西,综合类,否,否,1258,359
422,中国民航大学,天津,理工类,否,否,1199,360
383,黑龙江八一农垦大学,黑龙江,农林类,否,否,854,361
111,中原工学院,河南,理工类,否,否,799,362
440,辽宁科技大学,辽宁,理工类,否,否,942,363
571,西南民族大学,四川,民族类,否,否,1208,364
985,沈阳大学,辽宁,综合类,否,否,478,365
1226,合肥大学,安徽,综合类,否,否,650,366
341,辽宁中医药大学,辽宁,医药类,否,否,691,367
361,北华大学,吉林,综合类,否,否,1085,368
477,新疆农业大学,新疆,农林类,否,否,1757,369
958,北京联合大学,北京,综合类,否,否,284,370
311,山西财经大学,山西,财经类,否,否,1525,371
1205,闽江学院,福建,综合类,否,否,225,372
576,遵义医科大学,贵州,医药类,否,否,929,373
324,辽宁工业大学,辽宁,理工类,否,否,838,374
1358,湖北医药学院,湖北,医药类,否,否,521,375
1500,宁波工程学院,浙江,理工类,否,否,107,376
428,河北工程大学,河北,理工类,否,否,1128,377
583,云南农业大学,云南,农林类,否,否,1524,378
1426,盐城工学院,江苏,理工类,否,否,520,379
107,太原科技大学,山西,理工类,否,否,1159,380
101,吉首大学,湖南,综合类,否,否,764,381
1230,重庆科技大学,重庆,理工类,否,否,873,382
926,广东海洋大学,广东,综合类,否,否,728,383
321,大连海洋大学,辽宁,农林类,否,否,1110,384
437,内蒙古医科大学,内蒙古,医药类,否,否,1141,385
1198,淮阴工学院,江苏,理工类,否,否,494,386
