school_id,school_name,year,avg_total_score,avg_politics_score,avg_english_score,avg_special_one_score,avg_special_two_score,major_count,province,type,is_985,is_211,rank
772,中国中医科学院,2023,320.0,45.833333333333336,45.833333333333336,173.33333333333334,0.0,6,北京,医药类,0,0,2000
996,青海大学,2022,297.25373134328356,63.1044776119403,45.0,137.044776119403,38.0,67,青海,综合类,0,1,222
188,福建中医药大学,2022,309.97297297297297,41.86486486486486,41.86486486486486,125.5945945945946,10.135135135135135,37,福建,医药类,0,0,476
145,长春理工大学,2024,302.0869565217391,39.93478260869565,40.78260869565217,62.04347826086956,60.34782608695652,46,吉林,理工类,0,0,167
1490,江苏警官学院,2024,331.0,47.0,47.0,71.0,71.0,2,江苏,政法类,0,0,642
118,北京印刷学院,2023,313.0,39.78947368421053,42.473684210526315,65.10526315789474,59.73684210526316,19,北京,理工类,0,0,353
430,河北科技大学,2023,286.3114754098361,36.967213114754095,40.52459016393443,65.81967213114754,52.36065573770492,61,河北,理工类,0,0,292
276,江苏大学,2023,292.7724867724868,38.6931216931217,40.386243386243386,78.67195767195767,46.095238095238095,189,江苏,综合类,0,0,95
314,内蒙古农业大学,2023,267.0990099009901,33.366336633663366,34.56435643564357,52.633663366336634,50.23762376237624,101,内蒙古,农林类,0,0,261
1494,三亚学院,2023,245.33333333333334,25.666666666666668,37.666666666666664,62.666666666666664,38.666666666666664,3,海南,综合类,0,0,2000
567,兰州理工大学,2023,267.85849056603774,34.37735849056604,35.886792452830186,55.971698113207545,50.91509433962264,106,甘肃,理工类,0,0,241
851,中共四川省委党校（四川行政学院）,2023,319.625,40.125,45.625,71.5,60.5,8,四川,政法类,0,0,2000
255,西南政法大学,2024,343.7659574468085,44.765957446808514,47.8936170212766,73.87234042553192,67.61702127659575,47,重庆,政法类,0,0,199
1222,防灾科技学院,2024,273.0,37.0,37.0,56.0,56.0,8,河北,综合类,0,0,500
1572,中国航空研究院（630所）,2024,300.0,37.0,37.0,56.0,56.0,4,陕西,其他,0,0,2000
971,中国石油勘探开发研究院,2024,269.75,36.5,36.5,55.25,55.25,8,北京,理工类,0,0,2000
264,上海财经大学,2022,294.0,35.06666666666667,47.333333333333336,77.26666666666667,52.733333333333334,15,上海,财经类,0,1,37
59,安徽大学,2022,323.9340659340659,41.56043956043956,43.61538461538461,71.15384615384616,57.78021978021978,91,安徽,综合类,0,1,115
367,吉林艺术学院,2024,358.5769230769231,39.88461538461539,39.88461538461539,59.84615384615385,59.84615384615385,26,吉林,艺术类,0,0,2000
1363,长春大学,2023,307.9189189189189,40.4054054054054,41.78378378378378,65.13513513513513,59.21621621621622,37,吉林,综合类,0,0,462
991,伊犁师范大学,2023,310.9387755102041,42.12244897959184,42.857142857142854,68.91836734693878,59.36734693877551,49,新疆,师范类,0,0,645
335,沈阳化工大学,2024,283.76,38.12,40.02,61.46,57.66,50,辽宁,理工类,0,0,304
1232,泉州师范学院,2024,362.0,40.0,40.0,60.0,60.0,26,福建,师范类,0,0,497
635,上海核工程研究设计院,2024,260.0,35.0,35.0,53.0,53.0,1,上海,理工类,0,0,2000
1523,中国科学院科技战略咨询研究院,2024,347.0,49.0,49.0,74.0,74.0,3,北京,其他,0,0,2000
1198,淮阴工学院,2024,263.22222222222223,35.22222222222222,35.22222222222222,53.333333333333336,53.333333333333336,9,江苏,理工类,0,0,386
553,成都体育学院,2024,323.8378378378378,41.75675675675676,43.32432432432432,116.89189189189189,24.972972972972972,37,四川,体育类,0,0,721
683,中国科学院广州能源研究所,2024,307.14285714285717,50.0,50.0,77.14285714285714,77.14285714285714,7,广东,理工类,0,0,2000
763,中国艺术研究院,2022,361.75,42.0,42.0,106.375,108.75,8,北京,艺术类,0,0,2000
363,吉林农业大学,2022,287.32394366197184,55.985915492957744,39.647887323943664,88.61971830985915,80.21126760563381,71,吉林,农林类,0,0,227
323,沈阳工业大学,2024,282.69565217391306,33.91304347826087,39.82608695652174,63.130434782608695,51.30434782608695,46,辽宁,理工类,0,0,243
326,大连外国语大学,2024,352.9,49.475,51.725,89.825,85.025,40,辽宁,语言类,0,0,406
47,青海师范大学,2022,319.28723404255317,42.648936170212764,42.648936170212764,79.59574468085107,50.265957446808514,94,青海,综合类,0,0,290
396,黑龙江省社会科学院,2022,329.6666666666667,44.13333333333333,47.13333333333333,81.4,57.0,15,黑龙江,理工类,0,0,2000
153,广州大学,2023,338.02941176470586,40.05882352941177,42.85294117647059,72.02941176470588,54.0,34,广东,综合类,0,0,121
181,南昌大学,2023,298.84429065743944,39.64705882352941,40.7439446366782,93.75086505190312,27.508650519031143,289,江西,综合类,0,1,84
69,浙江工业大学,2023,297.2111111111111,38.15555555555556,41.13333333333333,71.47777777777777,49.12222222222222,90,浙江,理工类,0,0,76
513,广西民族大学,2023,309.6530612244898,40.04081632653061,43.265306122448976,74.16326530612245,52.89795918367347,49,广西,民族类,0,0,499
23,三峡大学,2023,298.8382352941176,39.279411764705884,41.9264705882353,72.36764705882354,51.05882352941177,68,湖北,综合类,0,0,230
597,中国科学院植物研究所,2022,318.6,47.6,39.6,83.4,83.4,5,北京,农林类,0,0,2000
1497,自然资源部第一海洋研究所,2022,290.0,39.0,39.0,59.0,59.0,6,山东,其他,0,0,2000
627,武汉材料保护研究所,2024,273.0,37.0,37.0,56.0,56.0,2,湖北,理工类,0,0,2000
39,南京大学,,355.0,60.0,60.0,180.0,0.0,1,江苏,综合类,1,1,6
545,中国科学院山西煤炭化学研究所,2024,288.4,39.6,39.6,62.8,62.8,5,山西,理工类,0,0,2000
